,Week,Name,Position,Year,Game,Fantasy Points,PassingYards,PassingTDs,Ints,Rush Attempts,Rush Yards,Fumbles,RushTDs,Receptions,Receiving Yards,Receiving TDs
550,,Jordan Love,QB,2022,NYJ@GB,0.00,8,0,0,0,0,0,0,,,
551,,Joe Burrow,QB,2022,ATL@CIN,45.00,481,3,0,3,20,0,1,,,
552,,Andy Dalton,QB,2022,NO@ARI,34.00,361,4,3,4,21,0,0,,,
553,,Patrick Mahomes,QB,2022,KC@SF,32.00,423,3,1,0,0,0,0,,,
554,,Daniel Jones,QB,2022,NYG@JAX,30.00,202,1,0,11,107,0,1,,,
555,,Justin Fields,QB,2022,CHI@NE,25.00,179,1,1,14,82,0,1,,,
556,,Justin Herbert,QB,2022,SEA@LAC,23.00,293,2,1,3,22,1,0,,,
557,,Davis Mills,QB,2022,HOU@LV,22.00,302,2,1,0,0,0,0,,,
558,,Jimmy Garoppolo,QB,2022,KC@SF,21.00,303,2,1,2,2,1,0,,,
559,,Kyler Murray,QB,2022,NO@ARI,19.00,204,1,0,7,30,0,0,,,
560,,Aaron Rodgers,QB,2022,GB@WAS,19.00,194,2,0,0,0,0,0,,,
561,,Phillip Walker,QB,2022,TB@CAR,19.00,177,2,0,0,0,0,0,,,
562,,Taylor Heinicke,QB,2022,GB@WAS,18.00,201,2,1,2,4,0,0,,,
563,,Trevor Lawrence,QB,2022,NYG@JAX,18.00,310,0,0,4,3,0,1,,,
564,,Geno Smith,QB,2022,SEA@LAC,17.00,210,2,1,4,7,1,0,,,
565,,Tua Tagovailoa,QB,2022,PIT@MIA,17.00,261,1,0,4,15,0,0,,,
566,,Derek Carr,QB,2022,HOU@LV,15.00,241,1,0,3,-1,0,0,,,
