Id,Name,Position,Year,School,RASScore,AllTimeScore
1703,Eli Watson,OG,2019,Carleton,0.16,0.26
1704,Brayson Bridges,DE,2019,San Jose State,1.23,1.43
1705,Micahel Carrillo,QB,2019,San Jose State,0.57,0.45
1706,Bryce Crawford,PK,2019,San Jose State,4.29,4.17
1707,Malike Roberson,RB,2019,San Jose State,0.06,0.07
1708,Boogie Roberts,DT,2019,San Jose State,1.63,1.9
1709,John Toussaint,CB,2019,San Jose State,0.31,0.45
1710,Joseph Parker,WR,2019,Chattanooga,4.8,4.96
1711,David Hamm,RB,2019,McNeese State,5.36,5.63
1712,Marquisian Chapman,WR,2019,Northwestern State,0,0
1713,Isaac Warren,CB,2019,Northwestern State,5.24,5.54
1714,Jaylen Watson,CB,2019,Northwestern State,2.41,2.88
1715,Rashaun Croney,CB,2019,Northwestern State,0.33,0.47
1716,Chason Milner,DE,2019,South Alabama,1.05,1.25
1717,David Pindell,QB,2019,Connecticut,5.12,5.12
