Year,Fantasy_Points,PassingYards,PassingTDs,Ints,RushAttempts,RushYards,Fumbles,RushTDs,PassingSkill,RunningSkill
2022-01-01,319,2242,17,11,160,1143,2,8,Did not play many games,Dual Threat
2023-01-01,250,2562,16,9,124,657,4,4,Did not play many games,Dual Threat
2020-01-01,384,4336,31,10,55,234,1,5,Really Good,RedZone Threat
2021-01-01,442,5014,38,15,63,302,1,3,Really Good,RegularQB
2022-01-01,320,4739,25,10,54,147,3,0,Really Good,RegularQB
2023-01-01,265,3134,20,7,52,228,1,3,Game Manager,RegularQB
2021-01-01,0,5,0,0,0,0,0,0,Backup,RegularQB
2022-01-01,152,2404,7,9,55,237,1,3,Backup,RegularQB
2023-01-01,114,2070,6,4,42,54,0,1,Backup,RegularQB
2019-01-01,288,3603,26,6,31,63,3,1,Game Manager,RegularQB
2020-01-01,370,4265,35,13,32,156,5,1,Really Good,RegularQB
2021-01-01,357,4221,33,7,29,115,2,1,MVP Passer,RegularQB
2022-01-01,343,4547,29,14,31,97,3,2,High Volume,RegularQB
2023-01-01,184,2331,18,5,14,25,4,0,Did not play many games,RegularQB
2021-01-01,0,0,0,0,2,-1,0,0,Backup,RegularQB
2019-01-01,211,3322,17,16,32,106,7,2,Not Very Good,RegularQB
2020-01-01,50,610,4,1,7,26,1,1,Backup,RegularQB
2021-01-01,10,120,1,0,2,11,1,0,Backup,RegularQB
2022-01-01,20,416,2,4,6,13,1,0,Backup,RegularQB
2023-01-01,0,0,0,0,13,-13,0,0,Backup,RegularQB
2022-01-01,0,23,0,0,0,0,0,0,Backup,RegularQB
2023-01-01,0,0,0,0,1,-1,0,0,Backup,RegularQB
2019-01-01,311,3722,20,12,93,544,2,4,Not Very Good,Dual Threat
2020-01-01,418,3971,26,12,133,819,4,11,Solid,Dual Threat
2021-01-01,335,3787,24,10,88,423,0,5,Game Manager,Dual Threat
2022-01-01,222,2368,14,7,67,418,2,3,Backup,Dual Threat
2023-01-01,160,1799,10,5,44,244,0,3,Backup,RegularQB
2019-01-01,474,3127,36,6,176,1206,2,7,Really Good,Dual Threat
2020-01-01,375,2757,26,9,159,1005,4,7,Game Manager,Dual Threat
2021-01-01,262,2882,16,13,133,767,3,2,Not Very Good,Dual Threat
2022-01-01,258,2242,17,7,112,764,2,3,Did not play many games,Dual Threat
2023-01-01,370,3678,24,7,148,821,6,5,Game Manager,Dual Threat
2020-01-01,1,7,0,0,7,10,0,0,Backup,RegularQB
2021-01-01,0,0,0,0,6,-6,0,0,Backup,RegularQB
2023-01-01,-1,27,0,1,1,6,0,0,Backup,RegularQB
2019-01-01,7,416,0,3,0,0,1,0,Backup,RegularQB
2021-01-01,261,3801,22,13,44,129,3,0,Solid,RegularQB
2022-01-01,188,2997,14,11,47,102,1,1,Game Manager,RegularQB
2023-01-01,121,2120,10,12,26,96,2,0,Backup,RegularQB
2022-01-01,16,276,0,3,27,123,2,1,Backup,RegularQB
2023-01-01,2,74,0,0,5,21,1,0,Backup,RegularQB
2019-01-01,94,1203,7,2,24,129,0,0,Backup,RegularQB
2020-01-01,27,226,1,1,9,88,0,1,Backup,RegularQB
